Name,City,Country,Latitude,Longitude,Type,Climate,Cost,Activities,Rating
Destination1,City 1,IE,45.644321685021204,31.234819933627165,Beach,Mediterranean,63.468780788028795,"['Snorkeling', 'Sunbathing']",3
Destination2,City 2,PL,51.54103380763936,-3.1527555402246135,Mountain,Mediterranean,105.59578764104764,"['Hiking', 'Rock climbing']",5
Destination3,City 3,LU,37.96670594374636,38.622166203761296,Beach,Mediterranean,67.71117042492043,"['Surfing', 'Snorkeling']",5
Destination4,City 4,NL,41.78629140730914,-9.147234340420415,City,Mediterranean,63.260330125980104,"['Nightlife', 'Museums']",3
Destination5,City 5,FI,40.37279229018267,21.655231892071846,Mountain,Mediterranean,119.76292837943218,"['Rock climbing', 'Skiing']",3
Destination6,City 6,NL,35.20740675917846,23.438671715206254,Historical,Subarctic,104.02276982448448,"['Cultural events', 'Historical sites']",3
Destination7,City 7,PT,57.42971840539949,-0.9581205638452346,Mountain,Temperate,106.40799028443278,"['Hiking', 'Rock climbing']",4
Destination8,City 8,AT,56.06696255824299,4.792608943533409,Beach,Temperate,80.44232906339647,"['Surfing', 'Sunbathing']",4
Destination9,City 9,AT,58.14128957537085,16.789576926162674,City,Temperate,94.46119503016288,"['Theater', 'Nightlife']",4
Destination10,City 10,GR,45.59721910116828,27.105669652825476,City,Temperate,91.26195509736712,"['Shopping', 'Theater']",4
Destination11,City 11,FI,52.12766022304098,6.523579010149053,Historical,Mediterranean,94.2152791188645,"['Historical sites', 'Cultural events']",4
Destination12,City 12,NL,36.741790599425414,32.829578467888005,City,Mediterranean,130.97663036809362,"['Nightlife', 'Theater']",3
Destination13,City 13,NO,47.82516053997227,10.908159334034977,Beach,Temperate,99.5944061378878,"['Surfing', 'Snorkeling']",5
Destination14,City 14,FR,59.41814251581982,-4.384181085330521,Historical,Temperate,130.21964708161207,"['Cultural events', 'Historical sites']",4
Destination15,City 15,PT,53.192418311654095,16.769540410233965,Mountain,Subarctic,100.4708236825056,"['Skiing', 'Rock climbing']",3
Destination16,City 16,CH,42.087459917551186,5.978179816696564,City,Temperate,140.7165843318419,"['Nightlife', 'Shopping']",4
Destination17,City 17,SE,44.96634750015207,14.005064731151993,Historical,Temperate,51.01268375062337,"['Sightseeing', 'Cultural events']",5
Destination18,City 18,SE,48.004449665548115,37.702356715387666,Historical,Mediterranean,70.23562449644648,"['Historical sites', 'Sightseeing']",4
Destination19,City 19,BE,37.19700911566256,-8.191955003842057,Beach,Mediterranean,123.98004038220216,"['Surfing', 'Sunbathing']",4
Destination20,City 20,NL,57.57942702187822,38.80867928138585,Beach,Temperate,66.68666781521205,"['Snorkeling', 'Sunbathing']",5
Destination21,City 21,IT,47.40276485873383,1.1309992556985584,Beach,Temperate,91.07117806373734,"['Snorkeling', 'Sunbathing']",5
Destination22,City 22,SK,36.884403376293335,29.343540708564753,Beach,Temperate,98.29641318443191,"['Sunbathing', 'Surfing']",3
Destination23,City 23,GR,51.74797289908108,10.102770825755627,City,Temperate,126.70010357003149,"['Theater', 'Nightlife']",4
Destination24,City 24,FI,57.68695547936673,18.481282624168102,Mountain,Mediterranean,107.48239387617961,"['Hiking', 'Rock climbing']",5
Destination25,City 25,FI,51.11323319425515,-7.577793278314939,City,Mediterranean,106.26836974783329,"['Theater', 'Shopping']",3
Destination26,City 26,IT,36.388336110879095,11.298370053333553,City,Mediterranean,139.257887882129,"['Shopping', 'Nightlife']",3
Destination27,City 27,CH,42.11760665816372,1.855535922079003,Historical,Mediterranean,139.8802793227234,"['Sightseeing', 'Historical sites']",3
Destination28,City 28,NL,39.86742404994047,14.49603222164798,Beach,Mediterranean,130.06340089613428,"['Surfing', 'Snorkeling']",3
Destination29,City 29,SK,45.045319678934156,36.121160301403854,Beach,Mediterranean,108.56513575508656,"['Sunbathing', 'Snorkeling']",5
Destination30,City 30,CH,58.84630467813162,18.740572273014326,City,Mediterranean,91.64916338144177,"['Theater', 'Museums']",3
Destination31,City 31,AT,48.71518977045132,17.530107856866888,Historical,Mediterranean,73.26459106023223,"['Sightseeing', 'Cultural events']",4
Destination32,City 32,IT,53.57028443606666,7.5567407722388715,City,Temperate,87.27887939505126,"['Museums', 'Shopping']",3
Destination33,City 33,CH,47.63035746916855,8.46398151084881,Historical,Mediterranean,77.80543396578726,"['Cultural events', 'Historical sites']",5
Destination34,City 34,FI,51.77562952157356,-9.28996803126598,Mountain,Mediterranean,75.01087103542734,"['Hiking', 'Skiing']",5
Destination35,City 35,PL,44.693797241310904,-6.159375904870764,Historical,Mediterranean,88.28796696652084,"['Sightseeing', 'Cultural events']",4
Destination36,City 36,SI,45.20508532142904,28.00868490023312,City,Mediterranean,103.38820397613866,"['Museums', 'Theater']",4
